	logFC	AveExpr	t	P.Value	adj.P.Val	B	probe_id	symbol	change
ADGRG2	1.43853720348049	9.39385623092767	10.6405622534509	1.13090918524733e-11	6.3238863626214e-10	16.5766922803383	ILMN_1651315	ADGRG2	up
ADGRG3	1.64919082233249	9.57080846990655	10.6241212007497	1.1732960568725e-11	6.54189071014476e-10	16.5396804081957	ILMN_1687315	ADGRG3	up
ADGRG5	1.68994840637467	8.17257326382263	10.610995371114	1.20830306958031e-11	6.69824721799619e-10	16.510106562929	ILMN_1703531	ADGRG5	up
ADGRG6	1.02458596837386	7.380494493519	10.6090516728572	1.21357726103364e-11	6.70815292909283e-10	16.5057253111156	ILMN_1691731	ADGRG6	up
ADGRL2	-1.03761389624624	9.29966271940435	-10.592450492363	1.25959711721779e-11	6.90302283384657e-10	16.4682849439091	ILMN_1707475	ADGRL2	down
ADH1A	-2.32871360095459	10.4170178603453	-10.5642012004997	1.34206065116446e-11	7.29262109768348e-10	16.4044925298428	ILMN_1701933	ADH1A	down
ADH1B	-2.6327211464161	8.55712072617246	-10.5622914513438	1.34783135301034e-11	7.30334757929772e-10	16.4001762020285	ILMN_1665856	ADH1B	down
ADH1C	-2.59642943534257	8.47795484531684	-10.5546914376218	1.37104954038182e-11	7.4082890333665e-10	16.38299430078	ILMN_1736976	ADH1C	down
ADH4	-2.08029815796938	8.64456346177457	-10.5464070781421	1.39682588159467e-11	7.52642651494538e-10	16.3642566949185	ILMN_1788250	ADH4	down
ADH5	1.0244483626629	9.93730867772012	10.5399005353324	1.41741858608455e-11	7.61605137483865e-10	16.3495339056191	ILMN_1796244	ADH5	up
ADH6	-1.72009917896522	9.40470765454863	-10.530325671753	1.44828976685628e-11	7.75855195195211e-10	16.3278582058906	ILMN_1741869	ADH6	down
ADH7	1.53641910236949	10.6529316884346	10.5291872000637	1.45200597977894e-11	7.75855195195211e-10	16.3252801254312	ILMN_1723467	ADH7	up
ADI1	2.19306264149815	11.1175343517587	10.5154234992151	1.49771476557827e-11	7.9585749255977e-10	16.2940987388834	ILMN_1674236	ADI1	up
ADIG	1.45954708090849	8.91508794903378	10.509323032336	1.51844342722475e-11	8.04649525236786e-10	16.2802703653318	ILMN_1715969	ADIG	up
ADIPOQ	1.58874478479861	11.2335522130224	10.506884669708	1.52681073863267e-11	8.0686075187742e-10	16.2747417949573	ILMN_1806408	ADIPOQ	up
ADIPOR1	1.45121815515647	8.49415763589907	10.4896694880812	1.58724577160143e-11	8.36500264726713e-10	16.2356872743719	ILMN_1723481	ADIPOR1	up
ADIPOR2	-2.66562448278071	9.13609549792044	-10.4873361013575	1.59562392793773e-11	8.38618084093176e-10	16.2303907594719	ILMN_1810604	ADIPOR2	down
